date,region,product,units,unit_price
2024-09-28,West,Gizmo,29,99.0
2024-03-26,West,Gadget,40,29.0
2024-02-15,East,Gadget,10,29.0
2024-09-26,North,Widget,39,12.5
2024-08-21,South,Gizmo,40,99.0
2024-09-03,North,Widget,3,12.5
2024-04-20,North,Gadget,30,29.0
2024-08-19,South,Doohickey,34,4.75
2024-11-10,West,Gadget,1,29.0
2024-08-21,East,Widget,27,12.5
2024-12-09,East,Widget,15,12.5
2024-01-03,North,Doohickey,26,4.75
2024-05-13,North,Widget,2,12.5
2024-04-07,North,Widget,31,12.5
2024-12-13,West,Gizmo,5,99.0
2024-11-09,East,Gadget,6,29.0
2024-06-01,West,Doohickey,8,4.75
2024-04-23,North,Gadget,1,29.0
2024-08-26,West,Widget,12,12.5
2024-08-17,South,Gadget,9,29.0
2024-11-13,North,Gizmo,26,99.0
2024-04-01,East,Gizmo,38,99.0
2024-01-07,South,Doohickey,26,4.75
2024-01-05,South,Widget,29,12.5
2024-01-25,East,Doohickey,19,4.75
2024-02-03,North,Gizmo,14,99.0
2024-01-20,East,Gadget,24,29.0
2024-03-19,West,Gizmo,37,99.0
2024-07-06,South,Gadget,20,29.0
2024-10-08,South,Gadget,11,29.0
2024-11-13,West,Gadget,39,29.0
2024-07-02,North,Widget,7,12.5
2024-09-09,South,Widget,26,12.5
2024-07-27,West,Doohickey,19,4.75
2024-12-03,South,Gadget,15,29.0
2024-09-21,North,Gizmo,18,99.0
2024-04-24,North,Gadget,5,29.0
2024-07-15,South,Doohickey,4,4.75
2024-03-10,East,Widget,34,12.5
2024-02-12,South,Gadget,29,29.0
